Players,Year,Points,Decade,Team,Rebound,Assist
Lebron James,1,27.2,2000's,CLE,7.4,7.2
Lebron James,2,31.4,2000's,CLE,7,6.6
Lebron James,3,27.3,2000's,CLE,6.7,6
Lebron James,4,30,2000's,CLE,7.9,7.2
Lebron James,5,28.4,2000's,CLE,7.6,7.2
Michael Jordan,1,22.7,1980's,CHI,3.6,2.9
Michael Jordan,2,37.1,1980's,CHI,5.2,4.6
Michael Jordan,3,35,1980's,CHI,5.5,5.9
Michael Jordan,4,32.5,1980's,CHI,8,8
Michael Jordan,5,33.6,1980's,CHI,6.9,6.3
Kobe Bryant,1,15.4,1990's,LAL,3.1,2.5
Kobe Bryant,2,19.9,1990's,LAL,5.3,3.8
Kobe Bryant,3,22.5,1990's,LAL,6.3,4.9
Kobe Bryant,4,28.5,2000's,LAL,5.9,5
Kobe Bryant,5,25.2,2000's,LAL,5.5,5.5
Magic Johnson,1,21.6,1980's,LAL,8.6,8.6
Magic Johnson,2,18.6,1980's,LAL,9.6,9.5
Magic Johnson,3,16.8,1980's,LAL,8.6,10.5
Magic Johnson,4,17.6,1980's,LAL,7.3,13.1
Magic Johnson,5,18.3,1980's,LAL,6.2,12.6
Larry Bird,1,21.2,1980's,BOS,10.9,5.5
Larry Bird,2,22.9,1980's,BOS,10.9,5.8
Larry Bird,3,23.6,1980's,BOS,11,5.8
Larry Bird,4,24.2,1980's,BOS,10.1,6.6
Larry Bird,5,28.7,1980's,BOS,10.5,6.6
Tim Duncan,1,21.7,1990's,SAS,11.4,2.4
Tim Duncan,2,23.2,1900's,SAS,12.4,3.2
Tim Duncan,3,22.2,2000's,SAS,12.2,3
Tim Duncan,4,25.5,2000's,SAS,12.7,3.7
Tim Duncan,5,23.3,2000's,SAS,12.9,3.9
Shaquille O'Neal,1,29.3,1990's,ORL,13.2,2.4
Shaquille O'Neal,2,29.3,1990's,ORL,11.4,2.7
Shaquille O'Neal,3,26.6,1990's,ORL,11,2.9
Shaquille O'Neal,4,26.2,1990's,LAL,12.5,3.1
Shaquille O'Neal,5,28.3,1990's,LAL,11.4,2.4
Hakeem Olajuwon,1,23.5,1980's,HOU,11.5,2
Hakeem Olajuwon,2,23.4,1980's,HOU,11.4,2.9
Hakeem Olajuwon,3,22.8,1980's,HOU,12.1,2.1
Hakeem Olajuwon,4,24.8,1980's,HOU,13.5,1.8
Hakeem Olajuwon,5,24.3,1980's,HOU,14,2.9
Stephen Curry,1,18.6,2010's,GSW,3.9,5.8
Stephen Curry,2,14.7,2010's,GSW,3.4,5.3
Stephen Curry,3,22.9,2010's,GSW,4,6.9
Stephen Curry,4,24,2010's,GSW,4.3,8.5
Stephen Curry,5,23.8,2010's,GSW,4.3,7.7
Kevin Durant,1,25.3,2000's,OKC,6.5,2.8
Kevin Durant,2,30.1,2000's,OKC,7.6,2.8
Kevin Durant,3,27.7,2010's,OKC,6.8,2.7
Kevin Durant,4,28,2010's,OKC,8,3.5
Kevin Durant,5,28.1,2010's,OKC,7.9,4.6
Karl Malone,1,21.7,1980's,UTA,10.4,1.9
Karl Malone,2,27.7,1980's,UTA,12,2.4
Karl Malone,3,29.1,1980's,UTA,10.7,2.7
Karl Malone,4,31,1980's,UTA,11.1,2.8
Karl Malone,5,29,1990's,UTA,11.8,3.3
Dirk Nowitzki,1,17.5,1990's,DAL,6.5,2.5
Dirk Nowitzki,2,21.8,2000's,DAL,9.2,2.1
Dirk Nowitzki,3,23.4,2000's,DAL,9.9,2.4
Dirk Nowitzki,4,25.1,2000's,DAL,9.9,3
Dirk Nowitzki,5,21.8,2000's,DAL,8.7,2.7
Kevin Garnett,1,17,1990's,MIN,8,3.1
Kevin Garnett,2,18.5,1990's,MIN,9.6,4.2
Kevin Garnett,3,20.8,1990's,MIN,10.4,4.3
Kevin Garnett,4,22.9,1990's,MIN,11.8,5
Kevin Garnett,5,22,2000's,MIN,11.4,5
Scottie Pippen,1,14.4,1980's,CHI,6.1,3.5
Scottie Pippen,2,16.5,1980's,CHI,6.7,5.4
Scottie Pippen,3,17.8,1990's,CHI,7.3,6.2
Scottie Pippen,4,21,1990's,CHI,7.7,7
Scottie Pippen,5,18.6,1990's,CHI,7.7,6.3
Dwyane Wade,1,24.1,2000's,MIA,5.2,6.8
Dwyane Wade,2,27.2,2000's,MIA,5.7,6.7
Dwyane Wade,3,27.4,2000's,MIA,4.7,7.5
Dwyane Wade,4,24.6,2000's,MIA,4.2,6.9
Dwyane Wade,5,30.2,2000's,MIA,5,7.5